S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
173,"Ladera Ranch, Santa Ana, Tustin and Orange","Ladera Ranch, California",2/19/2013,,Open+Close,random,psycho,"On February 19, 2013, a 20-year old unemployed, part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters, drivers, and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.",4,3,6,0,20,0,,Yes,White American or European American,Male,33.54961059,-117.6415707
174,Los Angeles Police Department,"Irvine, California",2/3/2013,,Open+Close,Coworker's Family,anger,"On February 3, 2013, a 33-year old former LAPD police officer shot and killed the daughter of a former LAPD captain and her fiance in a parking garage in Irvine, California. The shooter fled the scene and a large manhunt followed until February 12, 2013, during a stand-off  with police at a cabin in the San Bernardino Mountains. The shooter killed one police officer and injured another one before he committed suicide. It is not clear if he took his life before or after the police started to burn down the cabin where he was holed up. ",4,2,7,1,33,,,Yes,Black American or African American,Male,33.67803464,-117.773628
175,Phoenix Law Firm,"Phoenix, Arizona",1/30/2013,Entrance of building,Open,random,psycho,"On January 30, 2013, a 70-year old man attended a mediation session at a law firm in Phoenix, Arizona. At the end of the session he shot three people at the entrance of the building, killing the two man involved in the session with him and wounding a third person. The shooter fled the scene, firing at a man who followed him. He later died from a self-inflicted gunshot wound.",3,1,3,0,70,,,Unknown,White American or European American,Male,33.57145875,-112.0904854
176,South Valley Residence,"South Valley, Albuquerque, New Mexico",1/19/2013,Home,Close,Family,psycho,"On January 19, 2013, a 15-year old homeschooled student shot and killed his mother and three younger siblings in their residential home in South Valley, New Mexico. The shooter then waited up five hours for his father, a former pastor, to arrive home. When the father got home, the son shot him several times and killed him. Apparently, he was planning to go on a killing spree afterwards. Instead he went to church and was later arrested.",5,0,5,0,15,,,Yes,Some other race,Male,35.15290522,-106.7791378
177,Sandy Hook Elementary School,"Newtown, Connecticut",12/14/2012,,Open+Close,Family+students,terrorism,"On December 14, 2012, a 20-year old shot and killed his mother at their home in Newtown, Connecticut. He then travelled to Sandy Hook Elementary School killing twenty children and six adult staff members and injuring two others before killing himself. Court documents showed that the school shooting had occurred in the space of less than five munities with 156 shots fired.",28,2,29,0,20,,,Yes,White American or European American,Male,41.41190846,-73.31196267
178,Clackamas Town Center,"Happy Valley, Oregon",12/11/2012,Shopping Mall,Close,random,terrorism,"On December 11, 2012, an unemployed 22-year old run into Clackamas Town Center, a shopping center outside the City of Portland, Oregon. The gunman opened fire on shoppers and employees killing two people and seriously wounding a third person before committing suicide.",3,1,3,0,22,0,,No,Some other race,Male,45.44853107,-122.5440133
179,Azana Spa in Brookfield,"Brookfield, Wisconsin",10/21/2012,Azana Spa in Brookfield,Close,Ex-Wife,psycho,"On October 21, 2012, a 45-year old man went to Azana Spa in Brookfield, Wisconsin, where his estranged wife worked. He shot and killed his ex-wife and two of her co-workers and injured four others before committing suicide.",4,4,7,0,45,,,No,Black American or African American,Male,43.06396691,-88.12299758
180,The Spot Nightclub,"Miami, Florida",9/28/2012,Club,Close,random,terrorism,"On September 28, shots were fired into a large crowd gathered at The Spot, an all-ages club at which many young teens were present. Fifteen people were injured.",0,15,15,0,,,,Unknown,Black American or African American,Male,25.79653943,-80.20840397
181,Accent Signage Systems in Minneapolis,"Minneapolis, Minnesota",9/27/2012,Accent Signage Systems Building,Close,Ex-Coworkers,unemployement,"On September 27, 2012, a 36-year old man recently fired at Accent Signage Systems in Minneapolis, went into the firm's building killing six people and injuring two others. The gunman then turned the gun on himself.",7,2,8,0,36,0,,Yes,White American or European American,Male,44.96358722,-93.26783687
182,Sikh Temple in Wisconsin,"Oak Creek, Wisconsin",8/5/2012,Sikh Temple,Close,Sikhs,racism,"On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.",7,4,10,0,40,1,Army veteran,No,White American or European American,Male,42.88027442,-87.90087079
183,Aurora theater shooting,"Aurora, Colorado",7/20/2012,Movie Theatre,Close,random,terrorism,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,0,24,,,Yes,white,Male,39.709283,-104.823488
184,University Heights Apartments in Auburn,"Auburn, Alabama",6/9/2012,Apartment Complex,Close,Students,terrorism,"On June 9, 2012, a 22-year old man went to a party in an off-campus apartment complex in Auburn, Alabama. Three people, including two former Auburn University football players, were killed and three others were wounded. The shooter fled the scene and turned himself in a few days later.",3,3,6,0,22,,,Unknown,Black American or African American,Male,32.60598014,-85.48989253
185,Cafe in Seattle,"Seattle, Washington",5/30/2012,,Open+Close,random,psycho,"On May 30, 2012, a 40-year old man went to a coffee shop in Seattle, Washington, where he was asked to leave due to his belligerent behaviour the previous week. The man opened fire and killed four people and injured another one. He then fled and later killed a female motorist, taking off with her SUV. Five hours later, while he was being confronted by police, he killed himself with a gunshot.",6,1,6,0,40,,,Yes,White American or European American,Male,47.62199575,-122.323646
186,Seattle cafe shooting,"Seattle, Washington",5/20/2012,,Open+Close,random,psycho,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,0,40,,,Yes,white,Male,47.6038321,-122.3300624
187,"North Tulsa, Oklahoma","Tulsa, Oklahoma",4/6/2012,"Tulsa, Oklahoma",,black men,racism,"On April 6, 2012, a 19-year old and a 32-year old man went on a deadly shooting spree in Tulsa, Oklahoma, shooting black men at random in an apparently racially motivated attack. Three men died and two were wounded. The victims were chosen at random.",3,2,5,0,"19,32",,,No,White American or European American,Male,36.13543238,-95.91316117
188,Oikos University killings,"Oakland, California",4/2/2012,Nursing Classroom,Close,random,terrorism,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,0,43,,,Yes,Asian,Male,37.8043808,-122.2708166
189,Chardon High School,"Chardon, Ohio",2/27/2012,Chardon High Scool,Close,Students,terrorism,"On February 27, 2012, a 17-year old student entered Chardon High School in Chardon, Ohio, shooting  students in the cafeteria and in the hallway, leaving three students dead and three injured. He then was chased out of the school by a teacher and was arrested outside the school.",3,3,6,0,17,,,Yes,White American or European American,Male,41.58025541,-81.20812625
190,Su Jung Health Sauna shooting,"Norcross, Georgia",2/22/2012,Spa,Close,Family,anger,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,0,59,,,Yes,Asian,Male,33.9412127,-84.2135309
191,Ensley Birmingham,"Birmingham, Alabama",1/29/2012,Home,Close,random,terrorism,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.",5,0,5,0,,,,No,Black American or African American,Male,33.5282865,-86.79550448
192,Salon Meritage,"Seal Beach, California",10/12/2011,Hair Salon,Open+Close,Ex-Wife,anger,"On October 12, 2011, a 41-year old allegedly opened fire at a hair salon in Seal Beach, California, where his former wife worked. Eight people inside the salon and one person in the parking lot were shot, and only one victim survived. The shooter was later arrested about half a mile away from the salon. He argued earlier that day over the phone with his ex-wife over a custody dispute regarding their 8-year old son.",8,1,9,0,41,,,Yes,White American or European American,Male,33.75432632,-118.0715378
193,IHOP shooting,"Carson City, Nevada",9/6/2011,International House of Pancakes Restaurant,Close,random,terrorism,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,0,32,,,Yes,Latino,Male,39.1637984,-119.7674034
194,Residences in Grand Rapids,"Grand Rapids, Michigan",7/7/2011,,Open+Close,Ex-Wife & Family,psycho,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his estranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",8,2,9,0,34,,,Yes,Black American or African American,Male,42.96920434,-85.66008902
195,Southern Union State Community College,"Opelika, Alabama",4/6/2011,Opelika campus of Southern Union State Community College in Alabama,Open,Ex-Wife & Family,anger,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",1,3,4,0,34,,,Yes,White American or European American,Male,32.66240106,-85.37706931
196,Youngstown State University,"Youngstown, Ohio",2/6/2011,fraternity house party,Close,random,anger,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",1,11,12,0,"19,22",,,Unknown,Black American or African American,Male,41.09933958,-80.64631705
197,Tucson shooting,"Tucson, Arizona",1/8/2011,,Open,Congresswoman,terrorism,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,0,22,,,Yes,white,Male,32.2217429,-110.926479
198,Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/2010,Workplace,Close,,frustration,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,0,34,,,No,black,Male,41.7759324,-72.5214755
199,University of Alabama in Huntsville,"Huntsville, Alabama",2/12/2010,University of Alabama,Close,Coworkers,psycho,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",0,3,6,0,44,1,University of Alabama,No,White American or European American,Female,34.72827538,-86.6723055
200,Coffee shop police killings,"Parkland, Washington",11/29/2009,Coffee Shop,Close,Policeman,revenge,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,4,37,,,Yes,black,Male,47.155846,-122.437031
201,Parkland Coffee Shop,"Lakewood, Washington",11/29/2009,Coffee Shop,Close,Policeman,revenge,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",5,0,4,4,37,,,Yes,Black American or African American,Male,47.16267579,-122.5296574
202,Fort Hood Army Base,"Fort Hood, Texas",11/5/2009,Fort Hood Army Post,Close,random,terrorism,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,0,39,1,U.S Army,Yes,White American or European American,Male,31.13814354,-97.77797804
203,Binghamton shootings,"Binghamton, New York",4/3/2009,American Civic Association Centre,Close,random,terrorism,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,0,41,,,Yes,Asian,Male,42.0986867,-75.9179738
204,Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,Nursing Home,Close,Ex-Wife,psycho,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,0,45,,,Yes,white,Male,35.345802,-79.4170543
205,"Rivermark, Santa Clara, California","Santa Clara, California",3/29/2009,Home,Close,Family,psycho,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,0,42,1,Yahoo,No,Asian American,Male,37.36463172,-121.9679315
206,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",3/29/2009,Nursing Home,Close,Ex-Wife,psycho,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",8,2,10,0,45,,,Yes,White American or European American,Male,35.33985609,-79.41381725
207,"Geneva County, Alabama","Geneva, Alabama",3/10/2009,,Open+Close,random,psycho,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,0,28,,,No,White American or European American,Male,31.04367594,-85.8763466
208,"Covina, California","Covina, California",12/24/2008,Home,Close,Family,psycho,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,0,45,,,No,White American or European American,Male,34.09026669,-117.8819958
209,University of Central Arkansas,"Conway, Arkansas",10/26/2008,Dormitory,Close,Students,terrorism,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,0,19,,,No,Black American or African American,Male,35.08130744,-92.43278275
210,South Mountain Community College,"Phoenix, Arizona",7/24/2008,South Mountain Community College,Close,random,anger,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,0,24,,,No,Black American or African American,Male,33.57145875,-112.0904854
211,Atlantis Plastics,"Henderson, Kentucky",6/25/2008,Atlantis Plastics Factory,Close,Coworkers,anger,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,0,25,1,Atlantis Plastics,No,White American or European American,Male,37.84040411,-87.57853755
212,Northern Illinois University shooting,"DeKalb, Illinois",2/14/2008,Lecture Hall,Close,Students,terrorism,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,0,27,,,Yes,white,Male,41.9294736,-88.7503647
213,Kirkwood City Hall,"Kirkwood, Missouri",2/7/2008,City Hall Building,Open+Close,Policeman+Council Member,terrorism,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,0,52,1,,No,Black American or African American,Male,38.57889169,-90.42023754
214,"Carnation, Washington","Carnation, Washington",12/24/2007,Home,Close,Family,domestic disputer,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,0,29,0,,No,White American or European American,Male/Female,47.64628742,-121.9088524
215,Mojave High School Bus,"Las Vegas, Nevada",12/11/2007,School Bus Stop,Open,random,terrorism,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,0,18,,,No,Black American or African American,Male,36.18931923,-115.3264875
216,Youth With A Mission and New Life Church,"Arvada, Colorado",12/9/2007,Training Center+Church,Close,random,anger,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",5,5,9,0,24,,,No,White American or European American,Male,39.81087474,-105.173715
217,Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,Shopping Mall,Close,random,terrorism,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,0,19,,,Yes,white,Male,41.2587317,-95.9378732
218,South Middle School Football Game,"Saginaw, Michigan",10/25/2007,"South Middle School in Saginaw, Michigan",Open,Students,frustration,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,0,15,,,No,Black American or African American,Male,43.41929117,-83.95032759
219,SuccessTech Academy,"Cleveland, Ohio",10/11/2007,SuccessTech Academy,Close,Students+Teachers,suspension,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",1,4,4,0,14,,,Yes,White American or European American,Male,41.47657557,-81.68051502
220,Crandon shooting,"Crandon, Wisconsin",10/7/2007,Home,Close,party guests,anger,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,0,20,1,Deputy Sheriff,Unclear,white,Male,45.5719072,-88.9028922
221,Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,School Campus,Close,random,terrorism,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,0,23,,,Yes,Asian,Male,37.2295733,-80.4139393
222,Springwater Trail High School,"Gresham, Oregon",4/10/2007,Springwater Trail High School,Close,Students,terrorism,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,0,15,,,No,Some other race,Male,45.50216511,-122.4412759
223,Trolley Square,"Salt Lake City, Utah",2/12/2007,Trolley Square,Open,random,religious radicalism,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,0,18,,,Unknown,White American or European American,Male,40.77787404,-111.9312168
224,Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,Bart Township,Close,school girls,terrorism,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,0,32,,,No,white,Male,39.9589,-76.0806
225,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",10/2/2006,Bart Township,Close,school girls,terrorism,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",6,5,10,0,32,,,Unknown,White American or European American,Male,40.04214385,-76.30100872
226,Duquesne University,"Pittsburgh, Pennsylvania",9/17/2006,,,basketball players,frustration,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,0,18,,,Unknown,Black American or African American,Male,40.43948548,-79.97631581
227,Orange High School,"Hillsborough, North Carolina",8/30/2006,Home+School,Close,random,psycho,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,0,18,,,Yes,Some other race,Male,36.04099857,-79.09701201
228,Essex Elementary School,"Essex Junction, Vermont",8/24/2006,Home+School,Close,Ex-GirlFriend,psycho,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,0,26,,,Yes,Black American or African American,Male,44.49022039,-73.11400628
229,Capitol Hill massacre,"Seattle, Washington",3/25/2006,Capitol Hill neighborhood of Seattle,,random,drunk,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,0,28,,,No,white,Male,47.6229,-122.3165
230,Goleta Post Office,"Goleta, California",1/30/2006,Goleta Post Office,Close,Coworkers,psycho,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,0,44,1,Goleta Post Office,Yes,White American or European American,Female,34.43606107,-119.8593619
231,Red Lake High School,"Red Lake, Minnesota",3/21/2005,Home+School,Close,random,psycho,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,0,16,,,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
232,Living Church of God,"Brookfield, Wisconsin",3/12/2005,Church,Close,random,frustration,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,0,44,,,No,White American or European American,Male,43.06396691,-88.12299758
233,Tyler Courthouse,"Tyler, Texas",2/24/2005,Smith County Courthouse,Open,Ex-Wife,frustration,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",3,4,6,0,43,,,Unknown,Some other race,Male,32.3154272,-95.30501087
234,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",12/8/2004,,Open+Close,random,frustration,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,0,25,,,Yes,White American or European American,Male,39.98861445,-82.98904135
235,"Birchwood, Wisconsin","Birchwood, Wisconsin",11/21/2004,forests of Birchwood,Open,hunters,anger,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,0,36,,,No,Asian American,Male,45.65773714,-91.55077175
236,Windy City Core Supply Warehouse,"Chicago, Illinois",8/27/2003,Warehouse,Close,Coworkers,unemployement,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,0,36,0,,No,Some other race,Male,41.83928045,-87.68818145
237,Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,Workplace,Close,random,racism,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,0,48,,,Yes,white,Male,32.376081,-88.68978002
238,Case Western Reserve University,"Cleveland, Ohio",5/9/2003,School,Close,Students+Teachers,terrorism,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",1,2,3,0,,,,No,Asian American,Male,41.47657557,-81.68051502
239,University of Arizona College of Nursing,"Tucson, Arizona",10/28/2002,University of Arizona,Close,Teachers,failing exams,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,0,41,,,No,Some other race,Male,32.15358905,-110.9677647
240,Appalachian School of Law,"Grundy, Virginia",1/16/2002,Appalachian School of Law,Close,Students+Teachers,anger,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,0,43,,,No,Black American or African American,Male,37.27537712,-82.09877234
241,Santana High School,"Santee, San Diego, California",3/5/2001,Santana High School,Close,Students,terrorism,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,0,15,,,No,White American or European American,Male,32.86357277,-117.1281628
242,Navistar International,"Melrose Park, Illinois",2/5/2001,Navistar in Melrose Park,Close,Coworkers,unemployement,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,0,66,0,,No,Black American or African American,Male,41.90289602,-87.8643021
243,Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,Edgewater Technology,Close,Coworkers,,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,0,42,1,Edgewater Technology,Yes,white,Male,42.506484,-71.0728306
244,Radisson Bay Harbor Inn,"Tampa, Florida",12/30/1999,,Open+Close,Coworkers,,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,0,36,1,Radisson Bay Harbor Inn,No,Some other race,Male,27.99601861,-82.44503769
245,Fort Gibson Middle School,"Fort Gibson, Oklahoma",12/6/1999,Fort Gibson Middle School,Close,Students,,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,0,13,,,No,White American or European American,Male,35.77669911,-95.25996596
246,Xerox killings,"Honolulu, Hawaii",11/2/1999,,Close,random,,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,0,40,1,Xerox Service Technician,Yes,Asian,Male,21.3255125,-157.8473055
247,Wedgwood Baptist Church,"Fort Worth, Texas",9/15/1999,Church,Close,random,terrorism,"steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",8,7,14,0,47,,,Yes,White American or European American,Male,32.74802142,-97.31305148
